,Window Size,Trend
0,10,0.921212121
1,20,0.033082707
2,30,0.142157953
3,40,0.031425891
4,50,0.05027611
5,60,0.039955543
6,70,0.03124836
7,80,0.017686357
8,90,0.006840351
9,100,-0.003876388
10,110,-0.008232085
11,120,-0.007101188
12,130,-0.009362411
13,140,-0.009339398
14,150,-0.003541491
15,160,0.003382456
16,170,0.009026569
17,180,0.010764736
18,190,0.013251278
19,200,0.013348834
20,210,0.013706822
21,220,0.014786181
22,230,0.017281333
23,240,0.016824077
24,250,0.015672059
25,260,0.011818222
26,270,0.008115642
27,280,0.004646287
28,290,0.000991196
29,300,0.000447116
30,310,0.001870853
31,320,0.00208138
32,330,0.00198182
33,340,0.002037978
34,350,0.001598147
35,360,0.001219402
36,370,0.000210848
37,380,-0.001130202
38,390,-0.002195331
39,400,-0.003135863
40,410,-0.003760763
41,420,-0.004186289
42,430,-0.004224934
43,440,-0.003729382
44,450,-0.003290024
45,460,-0.002724781
46,470,-0.001855378
47,480,-0.00133871
48,490,-0.000830321
49,500,-0.00042581
50,510,-4.39E-05
51,520,0.000296272
52,530,0.000598402
53,540,0.000846977
54,550,0.00095005
55,560,0.001023019
56,570,0.001086265
57,580,0.001176712
58,590,0.00108806
59,600,0.001251059
60,610,0.001491776
61,620,0.001569111
62,630,0.001637504
63,640,0.001826848
64,650,0.002052316
65,660,0.002186853
66,670,0.002307496
67,680,0.002389056
68,690,0.002448102
69,700,0.002475346
70,710,0.002462025
71,720,0.00240132
72,730,0.002354138
73,740,0.002308342
74,750,0.002337199
75,760,0.002412956
76,770,0.00252019
77,780,0.002685346
78,790,0.002873546
79,800,0.003128536
80,810,0.003371318
81,820,0.003708741
82,830,0.004018387
83,840,0.004102522
84,850,0.004365202
85,860,0.004494601
86,870,0.004667001
87,880,0.00490797
88,890,0.004986949
89,900,0.004991455
90,910,0.005013758
91,920,0.005037988
92,930,0.005036695
93,940,0.005086133
94,950,0.005161745
95,960,0.005203619
96,970,0.005188972
97,980,0.005258796
98,990,0.00527891
99,1000,0.005288747
100,1010,0.00528923
101,1020,0.005475139
102,1030,0.005562972
103,1040,0.005582488
104,1050,0.005619473
105,1060,0.005619663
106,1070,0.005611826
107,1080,0.005596427
108,1090,0.005659194
109,1100,0.00562722
110,1110,0.005560557
111,1120,0.005490055
112,1130,0.005420641
113,1140,0.005412147
114,1150,0.005640243
115,1160,0.00617663
116,1170,0.006595969
117,1180,0.00687196
118,1190,0.006801664
119,1200,0.006953019
120,1210,0.007045435
121,1220,0.007130551
122,1230,0.007181257
123,1240,0.007207464
124,1250,0.007225868
125,1260,0.007255745
126,1270,0.007255612
127,1280,0.007212889
128,1290,0.007115713
129,1300,0.007052364
130,1310,0.007055425
131,1320,0.007018249
132,1330,0.006956801
133,1340,0.006885803
134,1350,0.00681895
135,1360,0.006756029
136,1370,0.006674602
137,1380,0.006582102
138,1390,0.006491508
139,1400,0.006402769
140,1410,0.006315833
141,1420,0.006239558
142,1430,0.006196766
143,1440,0.00616255
144,1450,0.00617888
145,1460,0.006128509
146,1470,0.006081267
147,1480,0.006099531
148,1490,0.006075153
149,1500,0.006044858
150,1510,0.006024658
151,1520,0.006016545
152,1530,0.005984311
153,1540,0.005954324
154,1550,0.005941399
155,1560,0.005929932
156,1570,0.005919887
157,1580,0.005892064
158,1590,0.005861573
159,1600,0.005842493
160,1610,0.00582735
161,1620,0.005811495
162,1630,0.00578812
163,1640,0.00576653
164,1650,0.005737861
165,1660,0.00572849
166,1670,0.00571179
167,1680,0.005694472
168,1690,0.005693346
169,1700,0.005484813
170,1710,0.005290192
171,1720,0.005163819
172,1730,0.004982915
173,1740,0.004850698
174,1750,0.004712199
175,1760,0.004575553
176,1770,0.004425481
177,1780,0.004270163
178,1790,0.004102449
179,1800,0.00394503
180,1810,0.003808416
181,1820,0.003657592
182,1830,0.003518155
183,1840,0.003421412
184,1850,0.003351513
185,1860,0.003291874
186,1870,0.003213115
187,1880,0.00315149
188,1890,0.003072945
189,1900,0.003002879
190,1910,0.002947628
191,1920,0.002921115
192,1930,0.002859677
193,1940,0.002788573
194,1950,0.002667398
195,1960,0.002538617
196,1970,0.002404092
197,1980,0.002254975
198,1990,0.002165917
199,2000,0.00212671
200,2010,0.00206328
201,2020,0.001994115
202,2030,0.001931023
203,2040,0.001855137
204,2050,0.001781181
205,2060,0.001686593
206,2070,0.001577781
207,2080,0.001474612
208,2090,0.001372816
209,2100,0.001280483
210,2110,0.00119462
211,2120,0.001124292
212,2130,0.001078168
213,2140,0.00103315
214,2150,0.000997045
215,2160,0.000979664
216,2170,0.000949971
217,2180,0.000923483
218,2190,0.000895107
219,2200,0.000868616
220,2210,0.000842739
221,2220,0.000817448
222,2230,0.000791534
223,2240,0.000759059
224,2250,0.00072619
225,2260,0.000694094
226,2270,0.000665083
227,2280,0.000625283
228,2290,0.000603514
229,2300,0.000589017
230,2310,0.000564745
231,2320,0.000541043
232,2330,0.000527786
233,2340,0.000519166
234,2350,0.000505289
235,2360,0.000491723
236,2370,0.000476313
237,2380,0.000460177
238,2390,0.000442308
239,2400,0.000421718
240,2410,0.000397478
241,2420,0.000374821
242,2430,0.000352686
243,2440,0.000338077
244,2450,0.000328774
245,2460,0.000323604
246,2470,0.000325392
247,2480,0.000330986
248,2490,0.000345087
249,2500,0.000359775
250,2510,0.000386424
251,2520,0.00041238
252,2530,0.00041532
253,2540,0.000439419
254,2550,0.000450062
255,2560,0.000466815
256,2570,0.000493067
257,2580,0.000501603
258,2590,0.00050189
259,2600,0.000504786
260,2610,0.000508443
261,2620,0.000509362
262,2630,0.000517143
263,2640,0.000528978
264,2650,0.000537096
265,2660,0.000538218
266,2670,0.000551021
267,2680,0.000557669
268,2690,0.000563298
269,2700,0.000567942
270,2710,0.0005993
271,2720,0.000617783
272,2730,0.000626998
273,2740,0.000639148
274,2750,0.00064624
275,2760,0.000652348
276,2770,0.000657494
277,2780,0.000674859
278,2790,0.000677968
279,2800,0.000675628
280,2810,0.000672531
281,2820,0.000669447
282,2830,0.000676104
283,2840,0.000721873
284,2850,0.000820346
285,2860,0.00077785
286,2870,0.000739006
287,2880,0.000723281
288,2890,0.00068706
289,2900,0.00066721
290,2910,0.000644171
291,2920,0.000620859
292,2930,0.000591712
293,2940,0.000559654
294,2950,0.000522025
295,2960,0.000487164
296,2970,0.000459065
297,2980,0.00042477
298,2990,0.000393811
299,3000,0.000378068
300,3010,0.000371836
301,3020,0.000368976
302,3030,0.000358338
303,3040,0.000353708
304,3050,0.000342086
305,3060,0.000333204
306,3070,0.000329559
307,3080,0.000336677
308,3090,0.000329852
309,3100,0.000318783
310,3110,0.000287503
311,3120,0.000252505
312,3130,0.000214494
313,3140,0.000169915
314,3150,0.000148515
315,3160,0.000146618
316,3170,0.000134644
317,3180,0.000119933
318,3190,0.000107251
319,3200,8.90E-05
320,3210,7.10E-05
321,3220,4.41E-05
322,3230,1.09E-05
323,3240,-2.06E-05
324,3250,-5.21E-05
325,3260,-8.02E-05
326,3270,-0.000106075
327,3280,-0.000125928
328,3290,-0.000136017
329,3300,-0.000145925
330,3310,-0.000152357
331,3320,-0.000151085
332,3330,-0.000155217
333,3340,-0.000158193
334,3350,-0.000162175
335,3360,-0.000165549
336,3370,-0.000168853
337,3380,-0.000172091
338,3390,-0.000175783
339,3400,-0.000182509
340,3410,-0.000189618
341,3420,-0.000196596
342,3430,-0.000202423
343,3440,-0.000213188
344,3450,-0.000216222
345,3460,-0.000216195
346,3470,-0.00022063
347,3480,-0.000224976
348,3490,-0.000224817
349,3500,-0.000222698
350,3510,-0.000223036
351,3520,-0.000223352
352,3530,-0.000224614
353,3540,-0.000226323
354,3550,-0.000228941
355,3560,-0.000232922
356,3570,-0.000238704
357,3580,-0.000243909
358,3590,-0.000249014
359,3600,-0.000250793
360,3610,-0.000250233
361,3620,-0.000247848
362,3630,-0.000242309
363,3640,-0.000235045
364,3650,-0.000223848
365,3660,-0.000212377
366,3670,-0.000195304
367,3680,-0.000178508
368,3690,-0.00017251
369,3700,-0.00015656
370,3710,-0.000146942
371,3720,-0.00013444
372,3730,-0.000117409
373,3740,-0.000108775
374,3750,-0.0001041
375,3760,-9.82E-05
376,3770,-9.20E-05
377,3780,-8.72E-05
378,3790,-7.90E-05
379,3800,-6.90E-05
380,3810,-6.07E-05
381,3820,-5.59E-05
382,3830,-4.54E-05
383,3840,-3.79E-05
384,3850,-3.09E-05
385,3860,-2.44E-05
386,3870,-4.89E-06
387,3880,8.40E-06
388,3890,1.71E-05
389,3900,2.73E-05
390,3910,3.50E-05
391,3920,4.21E-05
392,3930,4.88E-05
393,3940,6.15E-05
394,3950,6.71E-05
395,3960,7.00E-05
396,3970,7.25E-05
397,3980,7.49E-05
398,3990,8.21E-05
399,4000,0.0001091
400,4010,0.000162837
401,4020,0.000208352
402,4030,0.000242869
403,4040,0.000248212
404,4050,0.00027286
405,4060,0.000292779
406,4070,0.000312394
407,4080,0.000329195
408,4090,0.000343952
409,4100,0.000358125
410,4110,0.000373498
411,4120,0.000386163
412,4130,0.000394772
413,4140,0.000398
414,4150,0.000404302
415,4160,0.000417074
416,4170,0.000425858
417,4180,0.000432105
418,4190,0.000437225
419,4200,0.000442597
420,4210,0.000448216
421,4220,0.000451723
422,4230,0.000453828
423,4240,0.000455888
424,4250,0.000457904
425,4260,0.000459877
426,4270,0.000462793
427,4280,0.000469252
428,4290,0.00047658
429,4300,0.000489614
430,4310,0.00049504
431,4320,0.000500697
432,4330,0.000513921
433,4340,0.000522179
434,4350,0.000529676
435,4360,0.000538315
436,4370,0.000548384
437,4380,0.000555491
438,4390,0.000562794
439,4400,0.000572146
440,4410,0.000581661
441,4420,0.000591336
442,4430,0.000598726
443,4440,0.000605697
444,4450,0.000614068
445,4460,0.000622909
446,4470,0.000631616
447,4480,0.00063929
448,4490,0.00064714
449,4500,0.000653979
450,4510,0.00066336
451,4520,0.000671716
452,4530,0.000679943
453,4540,0.000690369
454,4550,0.000671726
455,4560,0.000654441
456,4570,0.000646254
457,4580,0.000629877
458,4590,0.000619956
459,4600,0.000608727
460,4610,0.000597345
461,4620,0.00058357
462,4630,0.00056856
463,4640,0.000551225
464,4650,0.000534928
465,4660,0.000521305
466,4670,0.000505098
467,4680,0.000490179
468,4690,0.000481428
469,4700,0.000476565
470,4710,0.000473099
471,4720,0.000466441
472,4730,0.000462263
473,4740,0.000455197
474,4750,0.000449264
475,4760,0.00044551
476,4770,0.000446264
477,4780,0.00044123
478,4790,0.000434421
479,4800,0.000419111
480,4810,0.000402169
481,4820,0.00038388
482,4830,0.000362728
483,4840,0.000351297
484,4850,0.000348128
485,4860,0.000340683
486,4870,0.000332059
487,4880,0.000324287
488,4890,0.000314096
489,4900,0.000304022
490,4910,0.000290089
491,4920,0.00027335
492,4930,0.0002573
493,4940,0.000241193
494,4950,0.000226496
495,4960,0.000212703
496,4970,0.000201494
497,4980,0.00019452
498,4990,0.000187623
499,5000,0.000182244
500,5010,0.00018026
501,5020,0.000175921
502,5030,0.000172103
503,5040,0.000167854
504,5050,0.000163886
505,5060,0.000159962
506,5070,0.00015608
507,5080,0.000152008
508,5090,0.000146592
509,5100,0.000141008
510,5110,0.000135485
511,5120,0.000130481
512,5130,0.000123259
513,5140,0.000119516
514,5150,0.000117169
515,5160,0.000112822
516,5170,0.000108523
517,5180,0.00010628
518,5190,0.000104949
519,5200,0.000102522
520,5210,0.000100123
521,5220,9.73E-05
522,5230,9.43E-05
523,5240,9.09E-05
524,5250,8.69E-05
525,5260,8.20E-05
526,5270,7.75E-05
527,5280,7.29E-05
528,5290,7.00E-05
529,5300,6.81E-05
530,5310,6.71E-05
531,5320,6.75E-05
532,5330,6.89E-05
533,5340,7.21E-05
534,5350,7.54E-05
535,5360,8.15E-05
536,5370,8.74E-05
537,5380,8.84E-05
538,5390,9.40E-05
539,5400,9.67E-05
540,5410,0.000100854
541,5420,0.000107169
542,5430,0.000109553
543,5440,0.000110087
544,5450,0.00011122
545,5460,0.000112538
546,5470,0.000113239
547,5480,0.000115527
548,5490,0.00011878
549,5500,0.000121203
550,5510,0.000122018
551,5520,0.000125575
552,5530,0.00012772
553,5540,0.000129645
554,5550,0.000131352
555,5560,0.000139433
556,5570,0.000144525
557,5580,0.000147446
558,5590,0.000151099
559,5600,0.000153564
560,5610,0.00015581
561,5620,0.00015784
562,5630,0.000162868
563,5640,0.00016445
564,5650,0.0001647
565,5660,0.000164758
566,5670,0.000164811
567,5680,0.000167277
568,5690,0.00017952
569,5700,0.000205087
570,5710,0.000226704
571,5720,0.000242966
572,5730,0.000244807
573,5740,0.000256277
574,5750,0.00026545
575,5760,0.000274523
576,5770,0.000282238
577,5780,0.000288971
578,5790,0.000295452
579,5800,0.000302573
580,5810,0.000308372
581,5820,0.000312161
582,5830,0.000313261
583,5840,0.000315926
584,5850,0.000321886
585,5860,0.000325859
586,5870,0.000328569
587,5880,0.000330726
588,5890,0.000333028
589,5900,0.000335474
590,5910,0.000336859
591,5920,0.000337542
592,5930,0.000338212
593,5940,0.000338869
594,5950,0.000339514
595,5960,0.000340653
596,5970,0.000343625
597,5980,0.000347064
598,5990,0.000353467
599,6000,0.000355972
600,6010,0.000358613
601,6020,0.000365188
602,6030,0.00036922
603,6040,0.000372879
604,6050,0.00037715
605,6060,0.000382188
606,6070,0.000385707
607,6080,0.000389348
608,6090,0.000394077
609,6100,0.000398914
610,6110,0.000403858
611,6120,0.000407627
612,6130,0.000411195
613,6140,0.000415515
614,6150,0.000420103
615,6160,0.000424642
616,6170,0.000428656
617,6180,0.000432782
618,6190,0.000436391
619,6200,0.000441363
620,6210,0.000445813
621,6220,0.000450213
622,6230,0.000455801
623,6240,0.000445945
624,6250,0.000436783
625,6260,0.000432443
626,6270,0.000423718
627,6280,0.000418415
628,6290,0.000412397
629,6300,0.000406279
630,6310,0.000398859
631,6320,0.000390754
632,6330,0.000381374
633,6340,0.000372524
634,6350,0.000365088
635,6360,0.000356236
636,6370,0.000348053
