,Window Size,Trend
0,10,0.151515152
1,20,-0.070676692
2,30,-1.53570634
3,40,-3.008724203
4,50,-1.167202881
5,60,-0.313225896
6,70,-0.001312221
7,80,0.142827004
8,90,0.207120221
9,100,0.233075308
10,110,0.242783401
11,120,0.235273283
12,130,0.224930014
13,140,0.21230019
14,150,0.195736699
15,160,0.17729843
16,170,0.154914784
17,180,0.135468173
18,190,0.116004671
19,200,0.106582165
20,210,0.096946805
21,220,0.066797586
22,230,0.074814762
23,240,0.079839494
24,250,0.08272798
25,260,0.083113997
26,270,0.073776351
27,280,0.072131022
28,290,0.070506804
29,300,0.059066212
30,310,0.051002847
31,320,0.04892571
32,330,0.047320244
33,340,0.046093723
34,350,0.04484636
35,360,0.043415973
36,370,0.042614964
37,380,0.042086674
38,390,0.041549254
39,400,0.040973975
40,410,0.040300555
41,420,0.039585015
42,430,0.038550625
43,440,0.037017706
44,450,0.035344635
45,460,0.02307899
46,470,0.021538446
47,480,0.021059119
48,490,0.020877918
49,500,0.020949972
50,510,0.020876757
51,520,0.020852603
52,530,0.020787382
53,540,0.020808942
54,550,0.020865031
55,560,0.021064025
56,570,0.021204582
57,580,0.021293925
58,590,0.021338407
59,600,0.021294365
60,610,0.02117271
61,620,0.02095348
62,630,0.020678261
63,640,0.020211254
64,650,0.019701807
65,660,0.01919789
66,670,0.018882717
67,680,0.018660641
68,690,0.018299592
69,700,0.018258177
70,710,0.018233893
71,720,0.018236162
72,730,0.018217999
73,740,0.018181577
74,750,0.018118262
75,760,0.017979515
76,770,0.017763386
77,780,0.017487929
78,790,0.016486661
79,800,0.010332872
80,810,0.010771669
81,820,0.004653063
82,830,-0.001368554
83,840,-0.008769449
84,850,-0.011274544
85,860,-0.010556387
86,870,-0.013786097
87,880,-0.019964153
88,890,-0.019659996
89,900,-0.018424154
90,910,-0.017133069
91,920,-0.015828212
92,930,-0.014567608
93,940,-0.013436742
94,950,-0.012393055
95,960,-0.011437526
96,970,-0.01054519
97,980,-0.009724734
98,990,-0.008959144
99,1000,-0.008227142
100,1010,-0.007486565
101,1020,-0.007241096
102,1030,-0.006725452
103,1040,-0.006197054
104,1050,-0.005678626
105,1060,-0.005148998
106,1070,-0.004599173
107,1080,-0.004087123
108,1090,-0.003855332
109,1100,-0.003418502
110,1110,-0.002998355
111,1120,-0.002560963
112,1130,-0.002168585
113,1140,-0.001942514
114,1150,-0.003093207
115,1160,-0.003534011
116,1170,-0.003347553
117,1180,-0.0030661
118,1190,-0.002813954
119,1200,-0.002387734
120,1210,-0.001977298
121,1220,-0.001553936
122,1230,-0.001150339
123,1240,-0.000854699
124,1250,-0.000641075
125,1260,-0.000456098
126,1270,-0.000286795
127,1280,-9.61E-05
128,1290,0.000100209
129,1300,0.000315712
130,1310,-8.54E-05
131,1320,0.000125791
132,1330,0.000367906
133,1340,0.000632375
134,1350,0.000898093
135,1360,0.001152071
136,1370,0.001401013
137,1380,0.001648211
138,1390,0.001884384
139,1400,0.002110007
140,1410,0.002325532
141,1420,0.00253139
142,1430,0.002546747
143,1440,0.002543979
144,1450,0.002153219
145,1460,0.002042867
146,1470,0.000699161
147,1480,-0.000349227
148,1490,-0.000280198
149,1500,-0.000145047
150,1510,1.88E-05
151,1520,0.000194324
152,1530,0.000370627
153,1540,0.000524979
154,1550,0.000678226
155,1560,0.000810825
156,1570,0.000935801
157,1580,0.001058261
158,1590,0.001175908
159,1600,0.001288924
160,1610,0.001395193
161,1620,0.001460777
162,1630,0.001496835
163,1640,0.001531266
164,1650,0.001581646
165,1660,0.001616888
166,1670,0.001674079
167,1680,0.00173945
168,1690,0.001479004
169,1700,0.001538477
170,1710,0.00158729
171,1720,0.001128024
172,1730,-0.000651081
173,1740,-0.000745847
174,1750,-0.000634588
175,1760,-0.000584775
176,1770,-0.000507942
177,1780,-0.000416632
178,1790,-0.000313391
179,1800,-0.000189523
180,1810,-8.79E-05
